index,field,value
 1.1.3,content,"Free shipping and great prices for shoes, boots, sandals, handbags and other accessories at DSW.com!"
 1.2.3,content,"Shoes are available in plenty of options, ideal for casual wear, workout wear, and sportswear. A lot"
 1.3.3,content,"Shoes Online- Shop shoes online for Men, Women & Kids at 70% Discount in EORS.Shop from the latest c"
 1.4.3,content,7118 items — Shoes For Men in Nepal at Best Price. 7118 items found in Shoes. Kito Slippers for Men 
 1.5.3,content,"Results 1 - 12 of 40000+ — Shoes: Buy sports shoes, slippers, clogs, sneakers, formal shoes from Nik"
 1.6.3,content,A shoe is an item of footwear intended to protect and comfort the human foot. Shoes are also used as
 1.7.3,content,"We are Caliber Shoes from Kathmandu, Nepal. With the vision of crafting design and comfort in footwe"
 1.8.3,content,"TOMS offers stylish shoes from our classic alpargatas, slip ons, sneakers & more to choose from! Sho"
 1.9.3,content,"Free shipping and returns on women's sneakers, sandals, mules, slides, heels and slippers. Shop top "
 1.1.2,link,https://www.dsw.com › ...
 1.2.2,link,https://www.flipkart.com › ...
 1.3.2,link,https://www.myntra.com › ...
 1.4.2,link,https://www.daraz.com.np › Fashion › Men
 1.5.2,link,https://www.amazon.in › ...
 1.6.2,link,https://en.wikipedia.org › ...
 1.7.2,link,https://calibershoes.com
 1.8.2,link,https://www.toms.com
 1.9.2,link,https://www.nordstrom.com › Women
 1.1.1,name,"DSW: Shoes, Boots, Sandals, Handbags, Free Shipping!"
 1.2.1,name,Men's Footwear - Upto 50% to 80% OFF on Branded ... - Flipkart
 1.3.1,name,"Buy Shoes for Men, Women & Kids online in India - Myntra"
 1.4.1,name,Men's Shoes Price in Nepal - Buy Shoes For Men Online - Daraz
 1.5.1,name,Buy men's shoes online at up to 60% off - Amazon.in
 1.6.1,name,Shoe - Wikipedia
 1.7.1,name,Caliber Shoes – Made in Nepal
 1.8.1,name,"TOMS® Official Site | Shoes, Accessories & Apparel | TOMS"
 1.9.1,name,Women's Shoes | Nordstrom
 2.1.3,content,"Bags Online - Buy from Huge range of Handbags, Travel Bags, Sling Bags, Handbags, Laptop Bags for me"
 2.2.3,content,"82107 Products | Bags Online - Buy Bags (பை) for Girls, Women and Men Online at Best Prices in India"
 2.3.3,content,"Discover women's handbags, bags & purses with ASOS. Shop hundreds of styles including designer purse"
 2.4.3,content,"1-16 of over 100,000 results for ""bags"" · American Tourister Casual Backpack · Half Moon 35 L Casual"
 2.5.3,content,Bag yourself some arm candy with our new season collection of women's bags and purses. From suitcase
 2.6.3,content,"Item 1 - 60 of 603 — Perfectly on-trend and practical, CHARLES & KEITH's bags will match any look. F"
 2.7.3,content,Discover your dream bag today with our collection of designer purses & bags on FARFETCH. We've got S
 2.8.3,content,"Beige crossbody bag with gold hardware, gunmetal tote bag, blue-green clutch,. Crossbody Bags · Tote"
 2.1.2,link,https://www.myntra.com › ...
 2.2.2,link,https://www.flipkart.com › ...
 2.3.2,link,https://www.asos.com › ...
 2.4.2,link,https://www.amazon.in › ...
 2.5.2,link,https://www.riverisland.com › Women
 2.6.2,link,https://www.charleskeith.com › catalog › bags
 2.7.2,link,https://www.farfetch.com › ...
 2.8.2,link,https://www.nordstrom.com › Women
 2.1.1,name,Buy Bags for men and Women Online in India - Myntra
 2.2.1,name,Handbags & Clutches - Flipkart
 2.3.1,name,"Women's Purses, Bags & Handbags - ASOS"
 2.4.1,name,bags - Amazon.in
 2.5.1,name,"Women's Handbags, Purses and Bags - River Island"
 2.6.1,name,Women's Bags | Shop Exclusive Styles - Charles & Keith
 2.7.1,name,Designer Purses & Bags for Women - FARFETCH
 2.8.1,name,"Handbags, Purses & Wallets for Women - Nordstrom"
 3.1.3,content,8740 items — Shop new branded men's t-shirts online at Daraz Nepal. The biggest online shopping stor
 3.2.3,content,"Men's T-shirts - Buy T-shirts for men online in India. Choose from a wide range of polo, round, V ne"
 3.3.3,content,"T-shirts are one of the most fashionable top wear options for men, as they offer the right mix of st"
 3.4.3,content,Welcome to TShirt Nepal | New Fashion T-shirt Shop The best place for Embroidary & Printed T-shirts.
 3.5.3,content,Results 1 - 12 of 40000+ — Explore trendy collection of printed & solid t-shirts & polos from top br
 3.6.3,content,"Go casual the modish way with our exhaustive fleet of T-shirts for men, that encompasses stylish pol"
 3.7.3,content,"A T-shirt, or tee, is a style of fabric shirt named after the T shape of its body and sleeves. Tradi"
 3.8.3,content,If you're looking to buy men's clothing online then visit our website durbarmart.com. Buy the best a
 3.1.2,link,https://www.daraz.com.np › ... › Clothing › Casual Tops
 3.2.2,link,https://www.myntra.com › ...
 3.3.2,link,https://www.flipkart.com › ...
 3.4.2,link,https://tshirtnepal.com
 3.5.2,link,https://www.amazon.in › ...
 3.6.2,link,https://www.ajio.com › ...
 3.7.2,link,https://en.wikipedia.org › ...
 3.8.2,link,https://durbarmart.com › collections › mens-tshirt
 3.1.1,name,Men's T-Shirts In Nepal At Best Prices - Daraz.com.np
 3.2.1,name,Buy Men's T-shirts Online at India's Best Fashion Store | Myntra
 3.3.1,name,Buy T-Shirts (टी शर्ट) Online at Best Prices in India - Flipkart
 3.4.1,name,TShirt Nepal | New Fashion T-Shirt Shop
 3.5.1,name,Buy T-Shirts & Polos for Men online at best prices in India
 3.6.1,name,Low Price Offer on Tshirts for Men - AJIO
 3.7.1,name,T-shirt - Wikipedia
 3.8.1,name,Men's T-Shirts In Nepal At Best Prices - Durbarmart.com
 4.1.3,content,Jackets for Men - Shop for Mens Jackets Online. Explore the latest collection of branded Jackets esp
 4.2.3,content,957 items — Men's Winter Jackets in Nepal at Best Price ; Men's Pre Winter Warm Windproof Half-Jacke
 4.3.3,content,"You can look at the exquisite men's jacket collections by brands like Ducati, Puma, Hidesign, Bruun "
 4.4.3,content,"A jacket is a garment for the upper body, usually extending below the hips. ... A jacket typically h"
 4.5.3,content,Results 1 - 12 of 10000+ — Shop from a wide selection of mens jackets and coats on Amazon.com. Free 
 4.6.3,content,"Free shipping on men's jackets & coats at Nordstrom.com. Shop bomber, trench, overcoat, and pea coat"
 4.7.3,content,And for outerwear that keeps out the chill and passes the style test (we love the duality) we have p
 4.8.3,content,Buy Jackets & Coats for Men. Huge collection of men's jackets & coats at low offer price & discounts
 4.1.2,link,https://www.myntra.com › ...
 4.2.2,link,https://www.daraz.com.np › ... › Jackets & Coats
 4.3.2,link,https://www.flipkart.com › ...
 4.4.2,link,https://en.wikipedia.org › ...
 4.5.2,link,https://www.amazon.com › ...
 4.6.2,link,https://www.nordstrom.com › Men › Clothing
 4.7.2,link,https://www.asos.com › ...
 4.8.2,link,https://www.ajio.com › ...
 4.1.1,name,Buy Jackets for Men Online in India - Myntra
 4.2.1,name,Men's Jackets Price in Nepal - Daraz
 4.3.1,name,Men's Jackets - Flipkart
 4.4.1,name,Jacket - Wikipedia
 4.5.1,name,men's jackets & coats - Amazon.com
 4.6.1,name,Men's Coats & Jackets | Nordstrom
 4.7.1,name,Men's Coats & Jackets - ASOS
 4.8.1,name,Low Price Offer on Jackets & Coats for Men - AJIO
